,sentence,gender
8667,"I will first mention those p'ticulars wherein god is pleased to owne his weake instruments, as the delivering of inis buffin, and the rest of the adjacent islands, into the parlia=nt= possession; the articl's of surrender are sent to the parliam=t= and counsell, and may be thought suteable to the difficulty of gaining of that place by fforce.",m
8668,"Questionless that service was owned by god, for during all the time of that treaty, there was soe greate a calme that our shipps ridd in safety close to the island all the while, which they could not possibly have done if any winde had beene stirring, as cap=t= clarke informs us; secondly, the delivering of several islands in the loughs in ulster to our fforces, in one of which man phelim o'neale was taken, and was isterday tryed at our high court of justice at dublin, and condemned of high treason, and within a few hours a period will be given to his high titl's as being created earle of tyrone, by the ultaghes, according to their rude solemnityes, prinse of ulster by the pope's commission or bull, gen=ll= of all the leinster and ulster fforces, by comission from the lords of y=e= pale, and the prinse and cheefe actor in the horrid massacr's and rebellion, by comission from the late charl's stuart, as himselfe has often confessed, and published in his manifest=as=; all which was made good by evidense at his tryal.",m
8669,"This course of inquisition after blood, and doeing exemplary justice, is terrible to this nation; insoemuch that the murtherers hearts faint, and theire joynts tremble even to admiration, when they come to y=e= barr.",m
8670,"This cruell monster of men when he came first to the barr was scarce able to stand for trembling, or to speak for tear's.",m
8671,"I beleefe tho some of their guilte of murthers have driven many out of late, insoemuch that the rebbl's are lately growne numerous, and have beene instruments to give us some sharp rebuk's about the 6th of ffebruary, neare rannile castle, in erconaught, almost over ag=t= inis buffin;",m
8672,"800 irish fell (out of an ambush in a narrow pass) upon 270 foote, which were marching that way to meete the fforc's that went by sea to reduce buffin, and routed them, in this ingagem=t= cap=t= hassett, who commanded the party, and cap=t= weston, l=t= lewis and l=t= hall, and about 46 private souldiours were slayne; yet the remainder of the party rallyed, and routed the inemye, and y=e= inemy rallyed, and our party routed them the second tyme; butt being foote and strangers they could not p'sue to considerable effect.",m
8673,"A cap=t= of y=e= inemy and some more men were slayne, and our own armes, and the inemy's arm's upon the last rout were recovered by oure men, and the next day they tooke l=t= gen=ll= burke in y=e= island, which i hope will be delivered up to justice.",m
8674,"The lord muskerry is lately landed at corke, and say's he will cast himselfe upon the parliam=ts= mercy, pretending that clergy in spaine had determined to murther him, and that portugal would not intertayne him, of all which i beleeve, but my share, he is sent for to dublin in (\salvia custodia\).",m
8675,"In kerry, and corke, and those parts very many are gone out lately, co=ll= o'sillinan beere, and co=ll= o'driskall, and divers others who formerly came in on muskerry's articl's are gone out, and reported to be 1500 men strong.",m
8676,"They have taken  islands, in the bay of bantry (as i take it), for recovery of which place fforc's are ordered both by sea and land; those muskerry rebbl's fell upon one cap=t= gibbons and 40 musketter's w=th= him, killed the said cap=t,= l=t= boone, insign booth, and 34 private men, 6 only escapeing.",m
8677,"The inemy then lost a cap=t,= a l=t,= and 6 men, and 27 wounded; this success made the inemy to attempt to surprize a convoy of about 90 foote, which was goeing from dingle to fforce needham, commanded by l=t= lambart, w=th= provision for that garr=isn= who being come within two myl's of y=e= fort, y=e= inemy appeerd onto him, conceaved to be in number 800, and thereupon the whole party left the carriadges, threw down theere arm's and ranne to co=ll= macffinnens howse being not farr off, except the l=t= and sixe men, who it seem's stood and were slayne; the inemy pursued them to macffinnins house to putt them all to the sword, but mcffinnin being not soe unhospitable or barbarous as his neighbours would have him to bee, protested that himselfe and every man with him would dye in their own defense, unless they would accept of a ransome for the men, which being (w=th= seeming difficulty) accepted, mcffinnin payd the money presently and sent the men home.",m
8678,"I have been the more p'ticular in these two, because in them the lord seems to rebuke us, and yet he do's not leave us without daily testimony of his love and tenderness towards us.",m
8679,"A party from limeric fell lately upon those y=t= are out in y=t= county, and killed about 60 of them; the like number were killed by corke fforc's lately, and at another tyme about 40; and this day we have intelligense from co=ll= barrow that trinity island, in the county of cavan (as i take it), and some other island thereabouts, are delivered up onto him, and that he is now before cloughwater castle, and has by a fiery floate burnt theire boat's or cotts (as be hopes), and with slug's has burnt theire corne, and hop's in a short tyme it will be rendered or quitted.",m
8680,This is theire most confideing garrison in ulster.,m
8681,"God has brought them very low, both in spirit and number in the north.",m
8682,"There is noe way to reduce this land to a p'fect and lasting peace, but by removing all heads of septs and preists and men of knowledge in armes, or otherwize in repute, out of this land, and breaking all kinds of interest among them, and by laying waste all fast countrey's in ireland, and suffer noe mankind to live there, but within garrisons, for which ind declarations are going out to lay wast the whole county of kerry, and a great part of the county's of corke, lymerick, typerary, clare, galloway, roscomon, sligo, &c., the whole county's of letrime, ffermanagh, cavan, tyrone, monaghan, and ardmanagh, except peer's of barrowny's in some of them, not considerable.",m
8683,"Likewize part of longford, meath, and lowth, bordering upon those countyes; the whole county of wicklow, and part of king and queen's county's.",m
8684,"I am afrayd i have too much presumed upon yo=r= patiense in soe tedious a narration, butt yo=r= goodness will beare with more faults then this in    yo=r= real and humble servant    j.",m
8685,"J. Dublin, 1=st= may, 1652.",m
8686,to major gen=ll= harrison.,m
8687,"Deare s=r=     nott long after the lord deputy's departure from us there was a strong apprehention uppon y=e= speritt of one eminent coll. in y=e= army (who i hope is now at rest), y=t= most of the principal officers and command=rs= of the forc's in ireland were designers of some dangerous interest, and that they would promote y=e= same by theire power and commands in the army, which being made knowne to the com=rs= of parliam=t= they have seriously inquired into, and examined the grounds, of such an apprehention, and found it to have neither evidense to warrant it, nor any probability of reason to support it.",m
8688,"Butt the contrary was very evident, and cleere to the judgmen=t= of most, if not all y=e= com=rs= viz=t= that the persons conceived to be those designers, are the most godly, most praying, and most self-denying men, that ever served any state in theire capacity, whereof they have not only before, butt alsoe sinse that time given most ample and pregnant testimony, and nevertheless it is reported here, y=t= those apprehentions of them have been transmitted into ingland, and there represented as truths to theire prejudice, i am persuaded y=t= theire frequent and ernest prayers to, and wrestlings with the lord for his appearance, in, and with the parliam=t= in the manadgm=t= of the great duty and trust y=t= lye upon them in the settlem=t= of the peace and tranquility, of the nations committed to theire care, and in y=e= advancem=t= of the gospell, in y=e= power and purity thereof has pv~ayled much on theire behalfe, and i hope y=t= y=e= lord will never suffer the parliam=t= (whom he has soe highly honored), in his work, even to y=e= terror and admirac~on of all y=e= nations round about you) to weaken y=e= hand or sadden the hearts of such pretious saints, and faithful servants to theire interest, the temper of whose speritts, in y=e= manadgm=t= of affair's here may be gathered by the inclosed w=ch= i have sent you for that ind, and have ps~umed (upon that old acquaintanse i have had with you, and those warm expressions of your love to myself (the unworthyest of all your acquaintance), as to all those that have any appearanse of the image of christ, and worke of grace upon theire heartes) to trouble you with these hasty lines, that (if you see cause) you may make use of them, for y=e= vindicacon of the servants of christ, in ireland, (concerned in this nation) soe farr as you will conceave fitting, wee are here in a longing expectac~on of some persons armed with authority to exersize the power formerly placed in the deputy general to be sent over to ease those that are unskillfull in imploym=t= of such importance, and doe really and cordially desier to be eased therein.",m
8689,"I can truly and freely say that although i account it the greatest earthly favor attaynable by me to be thought worthy by the parliam=t= to be imployed in theire service (wherein i hope through grace to be found faithful), yett i cannot take much comfort in any imploym=t= for which i am not fittly qualified; and i believe the rest of my fellow com=rs= are of the same minde, i beseech y=e= lord jehova to guide you in your walkings before him to manifest onto you more and more of his eternal love, and free grace in christ, to fill your heart with a speritt of humility, and the feare of his greate name, and to purg you of all rising thoughts or desier of greate things in the world, w=ch= i finde to be close and dangerous snares, attending high imploym=ts.= i will add noe further to your trouble at present, butt to assure you both with heart and hand that i am, &c.,    jo.",m
8690,Jon's.,m
8691,"Cork, june 21st, 1652.",m
8692,to mr morgan lloyd.,m
8693,"Most deare and beloved in y=e= lord,    yours of y=e= 21=st= of y=e= 5=th= came to my hand this day, i have not time to make knowne our wants onto you in this poore ireland, the irish bloody party in all plac's subdued, except a few in the north who keep in woods, boggs, and mountaynes, inaccessable with an army, w=ch= will require time to subdue them by planting garrisons upon them to starve them, and yet god is pleased to hould forth some tokens of his displeasure, the sickness rag's in galloway and is spread over all that provinse.",m
8694,"It fearfully brake out at cashell, a few days sinse the people being taken suddenly with madness, whereof they dye instantly, 20 dyed in that manner in three days in that little towne.",m
8695,"The sickness is in dublin and countrey about, but not soe violent as in other places, but few escap that have it, mr. Richardson, our auditor, sometim's a member of allhallow's ch. came home with us on munday night, and the next day his wife, his maid, and two of his children were visited, poore colonell barrow continu's still in y=e= hands of cruell bloody men, who will not release him under 2000 (^l^) ransome, or pardon to them for their murders, i desire in y=e= behalfe of y=e= servants of god here that our ffellow members with you doe earnestly seeke the lord on our behalfes, that his mind may be revealed onto us in these his reproofs, and that the lord may deliver such of his servants as are now cast onto y=e= furnace of aflic~con.",m
8696,"It is good at all times, (but especially when the lord appear's terrible to y=e= children of men by his judgm=ts=) to be striving and wrestling with the lord for a spirit of prayer, of humility, of love, and of y=e= feare of y=e= lord w=ch= proceede from love.",m
8697,"It is good then to be dwelling with him in the coole under the mulberry trees, in and under his ordinance, not in speculations, or unwarrantable empty notions, soaring soe high, that the wings of holy zeale are -, gospell ordinanc's and administrac~ons, accounted contemptible, and carnall, and esteemed yokes, not priviledges, from when must follow a fearfull and a hideous falling downe into the sea of perdition, these things i menc~on, because some such wee have in ireland, lt.",m
8698,Col.,m
8699,"Bowen is gone soe farr in that way, that he is become a professed atheist, and is shortly to come to his trial for y=e= same, there be some others of that way towards corke, the lord help us to watch over our spiritts, and to disserne this spirit of delusion, this dragons tayle, that strik's soe many professors out of y=e= church, whose fal shakes, and darkens heaven, mak's poore weake saints stagger, i have not time to inlarge, nor to write to my boy, nor other friends at present, i desire you to remember me to them.",m
8700,"The lord give you much comfort of your little one,    your assured friend in christ,    jo.",m
8701,Jon's.,m
8702,"I am not sorry for y=e= welch petic~on, the more the saints are tryed, the more their luster will appeare, it is good to observe what hands promote it, who they be that subscribe it, and to take exact notice what temper they are of, and what kind of ministry they are and would promote.",m
8703,to maio=r= sallway.,m
8704,"I have aduentured onse more to convey onto you a cast of hawk's by the bearer (being a ffalken and a tassell), if they come not to y=r= hands in good condic~on, i desire he may not receave any incouradgm=t= by yo=r= bounty towards him.",m
8705,As to the hopefullness of theire being as serviceable as usually creatur's of theire kind are.,m
8706,"I must wholely depend upon my good friend y=t= help's mee toe them, not haveing any judgment to decerne the goodness of them: the lord keep your speritt constantly upon the wing y=t= the marrow and substanse of your delight may be above any earthly creatur's or comforts, and that those greate indowments which god has qualifyed you with to decerne of things beyond the ordinary pitch of men, may not be like your high flown hawkes, who although they be carryed up farr above the earth, yet they have theire back's towards heaven, and theire ey's are fixed upon the earth.",m
8707,"Your most affectionat frind and very real servant,    j.",m
8708,Jon's.,m
8709,Drogedah august 19th 1652.,m
8710,to mr morgan lloyd.,m
8711,"Most deare and beloved in christ,    it is a most blessed thing to have a close com~union with our god, in the motions and workings of that love which the eternal speritt of love and life begetts in the heart, those are the rivers of living waters, which flow from the humble and meek speritts of a saint to refresh barren and dry hearts and to quicken dead, dull, and slow speritts.",m
8712,"These flowings from your heart to your penn has through grace conveyed much refresm=t= and comfort to your friends here in ireland that dwell in the midst of snares, and being called to spend theire whole tyme in earthly and carnal imploym=ts=, have theire speritts much deadened, and cooled in the things of heaven, and affair's of the soull.",m
8713,"If a stone or piece of earth were placed in the braine and at the heart, how could and heavy would the speritt be, even such are the affair's of the world (although honest and necessary.) and therefore happy are they that are least incumbred with them; my brother harry being now more than formerly ingaged in those affair's (having the governem=t= of dublin cast uppon him in co=ll= hewsons absence), is more then ordinarily sensible of this, although god has given him a strong lively speritt in the way's and work's of christ.",m
8714,"The lord is pleased to continue the rodd of his anger upon this land some off his owne people in dublin are in the furnace, and some taken away.",m
8715,"I pray you sett our x~ian frends with you upon seeking the lord earnestly and frequently for us, and likewize for themself's and all the saints of god least his anger burn against our couldn's and inactivity.",m
8716,"Great actions are abroad, wherein the hono=d= of god are greatly concerned, who know whether the faith, prayers and grac's of the saints are given for such a tyme as this butt if they stand not in y=e= gapp they will not be approved when deliveranse come.",m
8717,"Your generalls torment me by putting me into a longing to know particulars, what are the things that are printed against the saints at wrexham, onto whom (i hope) the lord has given a speritt of sobriety, as well as x~ian zeale not to affect empty vaine speculations which has deceaved many into a contempt of the ordinanc's of christ, and his written word, and at length (like him that beleved himselfe to be that great starr which he looked upon and pointed at) beleeve that themself's are god and christ, that noe act of their's is sinfull, that chequ's of consciense against the committal of any act be it ever soe sinfull or monstrous, proceeds from the want of that perfection which they have acquired, and professedly act in as the injoym=t= of that liberty, and priveledg which the perfection intitl's them onto.",m
8718,"Truly many of those we have heard off, and some of them we met with in ireland, and i believe that the knowledg and report of these things have bredd jelous's in many well meaning people that what to them seem's new (although an evangelical truth) proceeds from a speritt of a delusion, the lord keep us close in the sure word of truth in our walkeings that the ordinanc's of christ which are as soe many spiritual buoys, to direct us in the right channell, may not be esteemed nugatory and of noe force nor advanse above theire due latitude, as the papists doe i would have binne glade to have seene what is in printe questionless it may be guessed from what speritt, and from what hand it proceeded, lett patiense worke and you will see that shame will be the reward of the authors and promoters of these ly's.",m
8719,"The lord reward your great love and kindness to my boy and give strength to (my deare friend) your wife: i thanke you for your freedom with mee as to marriage, i desire to know from whom and of whom the report you mention came, and for your satisfac~con i doe really profess onto you that sinse the departure of my deare wife (of most pretious memory) i have not seene nor do i know, nor can thinke of that woeman on whom i have pitched my thoughts to be in that relation to mee, and if all the world were sett before mee to make my choice off, my thoughts doo not yett lead mee to any one numerically, my minde as yett suit's not with the ofspring of this climate.",m
8720,"If i were in my native country, and could meete with one indued with soe much grace, meekness, humility, love, comelines, and wisdom as she had who is removed from mee, and one that in the course of nature might promisse children, and would love my boy as her owne, and be content he should be the elder brother, i should blesse god for such an acquaintanse.",m
8721,I wish mr powell would leave his disputeing and that he and you would come over for ireland for some time.,m
8722,"Many gratious hearts and head's here conceave that disput's produce neither grace nor knowledg but administers and ingenders striffes: pray remember my deare love to mr powell and mr mostin when you write, and to all our friends.",m
8723,"Your very affectionate frind in the dearest obligat~on,    jo.",m
8724,Jon's.,m
8725,Drogedah august 23rd 1652.,m
8726,major gen=l= thomas harrison to col=l= john jon's.,m
8727,"Deare brother,    i thank yow for yo=r= last, so full of sweetn's & light, though complayning of ignoranse.",m
8728,"I will now trouble you w=th= little, save the desire of many bretheren, (sent as messengers from divers churches) whereof i have formerly made mention, that yo=r=selfe would come to towne with all convenient speed, and (if itt may bee) by the appointm=t= of yo=r= congregation, and one or two w=th= you, to consult w=th= the bretheren here of the propagating of o=r= lord's gospell and kingdome, and love amongst all saints, because some here lay weight upon yo=r= sending.",m
8729,"Though here bee a very greete ebb to carnal sense, yett many pretious on's think itts a time of much mercie; and that o=r= blessed lord will shortly worke w=th= eminense.",m
8730,"I have much very much to acquaint you with, but purposely forbeare in expectation to injoy you the next week.",m
8731,"Thowe methinks, we have scarce lived a time more requiring concurrense of the lord's people, nor yeelding greater incoragement to lay heads and heart's and more tthan all together for him that has so sweetly loved and dearly bought us; where i beseech you lay this to heart, hasten to us in the feare of the lord, and thinke there may bee somewhat extraordinary, that you, powell, jenkin, jones, and craddock, w=th= some bretheren w=th= you (however yo=r=selfs y=e= messengers from the churches) are soe  this juncturre.",m
8732,The lord guide you herein and all things.,m
8733,Yo=rs= yo=rs= t.,m
8734,"H. Whitehall, 7=th= of the 9=th= m.",m
8735,52.,m
8736,9=th= day 9=th= m.,m
8737,1652. Major gen=l= thomas harrison to col=l= john jon's.,m
8738,Pretious brother.,m
8739,"Yo=rs= of very much price came wellcomely to my hands the last weeke, for w=ch= i retorne you very many thanks.",m
8740,"I have little more presently to say to you all, because i am att a com=ttee= where i want opportunity.",m
8741,"Mr. Frake told mee last night, that nexte weeke he will give yo=rs= a retorne, and then ile speake a little larger if the lords will.",m
8742,"Richard creed having now compaired my book's and receipts, also an accompt from the gouvernor of carlisle, i understand i am yo=r= debtor (though 10000 tim's more then heele expresse to you all) for yo=r= troope, w=ch= i will there transmitt to yo=r= selfe, or pay here if youle but hint to him.",m
8743,"(^let me have a word from you all upon receipt hereof^) , and how it fair's w=th= you and yo=r= family because one hinted yo=r= selfe or some of yo=rs= were not very well.",m
8744,"I am,    yo=r= much indeared brother and servant in o=r= lord,    t.",m
8745,H.,m
8746,major gen=l= harrison to col=l= jon's.,m
8747,27=th= d.,m
8748,9=th= m.,m
8749,"52. Deare man,    i pray yo=r= pardon for my last, which was in much love, and soe exceeding have (att a com=ttee= of parliament where good mr. Brooke was desired to be outed because he would not baptize, bury dead, and accept wicked persons to breake bread) that i could scarce tell w=t= i wrote, and had not time to conclude itt.",m
8750,"I have now inclosed mr. Frak's to you all, w=ch= should have come sooner, but hee told mee hee had beene disappointed.",m
8751,"I hope the lord will make yo=r= communion and intercourse usefull, and that prove i will have cause to blesse him, in being a hand betweene you.",m
8752,"I intreated his unsealed, for the favo=r= and help of perusing.",m
8753,"Wee are in daily expectation of ingagement with the dutch, blake yesterday certefying us that some of his men had discovered 80=tie= saile a making upp towards him.",m
8754,"That in the evening from a steeple w=ch= has advantage for itt, was desirned 300  they are merchantmen in generall, and the rest are theire convoy, but hope the lord will cause them to inforce us, or ours inforce them to fight.",m
8755,"Many of the lord's deare servants long for ingagem=t= care not for the inequality to  knowing the cause ingaged, and who is for us.",m
8756,"A sweet spiritt of praier begins to issue forth, and some hope will never againe decline.",m
8757,"If you are not free to see london this winter without a very special call, where i thinke you might bee very serviceable, yet put yo=r=selfe into some readiness for itt.",m
8758,"Itts probable yo=r= troop may bee called here to doe duty for 3 or 4 monethes, and then i hope you may see an opportunity of coming with them.",m
8759,"My indeared respects to all yo=rs= and christ's,    whose i desire to remain approvedly,    t.",m
8760,H.,m
8761,major gen=l= harrison to col=l= jon's.,m
8762,Deare bro.,m
8763,"According to w=t= i hinted (as i remember) in my last, after wee had spent yesterday 4 or 5 howers in prayer (wherein indeed we found a sweet p=r=sense of y=e= lord) y=e= elders came together, having many of them (as i have good reason to judge) their harts full of propositions according to god, wherein the church's might be serviceable to the fullest propagation of y=e= gospell, but y=e= consideration thereof was putt off till one day more might be spent in solume seeking onto god for the pouringe forthe of his spirit, whereby wee may certainely know o=r= duty and bee fully inabled to it.",m
8764,"And by com~on consent the 5=th= day of y=e= next weeke, at alhallowes, y=e= church's of s'=ts= are to attend upon y=e= lord of y=e= harvest in this great thing, and truly i hope wee will come as one man w=th= hearts ingaged to approach onto him.",m
8765,"And this i write not onely y=t= you may have fare understanding of o=r= affairs, but chiefly that you may gett together on y=e= same day the people of god in yo=r= quarters to joine w=th= us in putting up this great request.",m
8766,There are thoughts of having up my whole regim=t= and consequently yo=r= troop up to the guards here.,m
8767,"Itt may bee you may see a cleere cal to come w=th= them, and give the church's here a visitt.",m
8768,"Wee hope if you come it will be in the fullness of y=e= gospell, upon w=ch= accompt you cannot but bee welcome to the spiritual s'=ts= and to mee (tho unworthy to be reckoned amongst them) you will be upon all accompts most deerly welcome, who am     yo=r= brother in o=r= deere lord.",m
8769,T. H. 9 m.,m
8770,30 d. 1652,m
8771,"to col=l= philip jones, one of y=e= coun~ell, deare ffreind,    your brother giv's me a cordial acco=t= of your retaining mee in your memory.",m
8772,I blesse the lord that any who feare him have mee in the least measure in their thoughts for good onto mee.,m
8773,"Your greate and hon=ble= imploym=t= do necessarily free you from those intercours's which your friends at other tim's might expect as a favour from you all, yet themselv's are more obliged then formerly to com~unicate onto you what the lord will putt upon their spirits for y=e= strengthening you in your performanse of that high trust com~itted to you all, upon which account i take this boldness to trouble you at this tyme, not intending to putt you to the trouble of a returne unless you finde goode leizure for it.",m
8774,"The suddenness of the late change, with the occasion and somewhat of the formality of it, do amuse many precious s'=ts= in this lande, and it cannot be rationally expected that there should be soe sudden and cleare an aprobation in it in those that feare the lord, as there were in them y=t= were p'sent upon the place, and know the grounds and reasons of this alterac~on. ffor my owne p=t= i am very willing to act under this goverment those trusts that the lord has or will lay upon mee, for the good and service of my country, soe long as the authority (under w=ch= i am) judge mee any way serviceable; and when i will be thought an uselesse instrum=t= i hope i will willingly acquiesse and rejoyce in a private course of life, and that the lord will bring my gray head in peace to my grave, and i hope most of them that serve the com~onwealth in ireland have the same freedom of spirit in them.",m
8775,"If the governm=t= be soe established as may produce the fruits of righteousness, peace and love to the s'=ts= i am not solicitous what forme or shap it has, ""when the righteous are in authority the people rejoice, but when y=e= wicked beare rule the people mourne."" prov.",m
8776,"29, 2 verse.",m
8777,"Have a care that you (that greate burthen of y=e= governm=t= of 3 nac~ons and preserveing the interest of all the s'=ts= in the world is fallen) aprove yo=r=selv's righteous on the acc=t= of christ and that you prove not a burthensome stone and a rock of offense to his people, least he breake you with a rodd of iron and dash you in piec's like a potter's vessel.",m
8778,"You are now lead onto a maste=r=piece of sathan's temptations, and are sett upon a high pinacle, where you may see all nac~ons, peopl's and contri's bowing to you all and prostituteing their riches, splendour and all other carnal and worldly hono=r= and contentm=t= if you will but fal downe and worship their prinse.",m
8779,"You have need, therefore, to guird your lyn's with the strenght of christ, and ingage all his people to wrastle manfully for you at the throne of grace, that you may be strenghtened in the power of temptation and delivered from y=e= snare y=t= is spread before you, remember that your life here is but a moment of tyme and anon you must give an acco=t= whatsoever you have done in the flesh, and the first question will be how you have delt with the s'=ts= of the most high when you were in your power? one glanse from the face and countenanse of christ on a poore soule in the hower of our change, is worth all the welth pomp and hono=r= of the world.",m
8780,"Wee are here listening very narrowly what kinde of persons you cal to yo=r= councell and in other imploym=ts= of hono=r= and trust, and what kinde of court you are setting up, whether wee are like to have a councell and court of sober zealous christians (as wee hope, many of them whose name wee have seene in print are) or whether you alloy them with a mixture of persons carnal and persecuting spirits, and according to w=t= you doe in these thing's the people of god will judge how the temper of your spirits and y=e= fruite of yo=r= government is like to prove.",m
8781,"The lord has not given mee the tonge of the wise, nor the pen of the learned to administer advice, my aime is to minde you of these thinges, as one who really and unfeignedly wishe your welfare.",m
8782,"It were presumc~on in mee to desire to be p'sented to him that is in cheife authority and is indeed in the front of danger, and sett up as a butt for invy and malice to shoote at, but truly he is remembred in my prayers with a trembling heart for him.",m
8783,"The lord preserve him in an humble, meeke and patient frame of spirit, zealous for christ and cause and people.",m
8784,"If you send mee one lyne to reprove mee for being thus troublesome to you all i will esteeme it a favour to    your antient faithfull friend (though i cannot say most humble) servant,    j.",m
8785,Jon's.,m
8786,"Dublin, 13=th= january, 1653.",m
8787,"to mr humphrey jones, deare brother,    i have by my last given you an acc=t= of my inten~cons touching my interest in the lordshipp of bromfield and yale, that i am not willing to part with it upon the tearm's propounded by those gentlemen that would purchase it.",m
8788,"I cannot, indeed, see how my couzen vaughan and you that are intrusted in that purchase can convey over the interst of any man conserned therein whose debentur's are delivered up in satisfac~ion of y=t= purchase without their consent in writing under their hands and seales, you being only intrusted to take y=e= estate for their use and not to convey it away.",m
8789,"If any of those whose debentur's are in that purchase, have conveyed their interest therein to those gentleman, they may injoy soe much interest in the lordships as belongs to such persons without necessitating you to prejudice that trust reposed in you by the rest.",m
8790,"I desire to know who those p'sons are that have an interest therein, and how much each man's interest is that i may know how farr i may provide to take in yo=r= interest upon better tearmes, for them then what is offered, or be otherwize more serviceable onto them.",m
8791,"I presume coll=l= mason and majo=r= elliot may have some debent=rs= in that purchase, and if soe, they are willing to put the interest they have therein into my hands and i presume that there are others of them that will be willing to doe the like.",m
8792,I am not much in love with such interest as holds up any burthensome power over the people and therefore would willingly part with all the interests i have of that nature.,m
8793,"But the way now proposed in this perticular tends not to ease the people of such burthens, but rather to continue it upon them by putting it into such hands.",m
8794,"But my aime is to improve my owne and that interest of those other concerned w=th= mee to the gaining of what is really due onto us and thereby to make the people free when they have given due satisfacc~on for what do issue out of their respective estat's onto us, and for y=e= ind i doe propose to myself that by the consent of all those that have their debentur's in y=t= purchase, or by buying in their interests to impower com=rs= to treate with the respective tena~nts of y=e= lo=pps= for the acquitting of those rents and the emolum=ts= due from them upon reasonable tearm's and thereby reemburse ourselves, and if wee must abate of the price i had rather do it to y=e= respective te~nants then to any other that are soe earnest to interlop other men's interest for lucar or setting up of a power in their hands over the people who may expect but little ease from such instrumen=ts=.",m
8795,"As touching the negociation you menc~on, i am yet free either to continue or breake it of as the lord will incline the hearts of such as are concerned therein, but i doe not yet see how that matter can be brought to a speedy and comfortable period by reason of my fixedness in this country and the improbability of consum~ating it w=th=out my presense and therefore i am silent in y=t= matter, expecting an answer of a letter i lately sent into south wales, being unfree to bee obliged by previous condic~ons in a matter of y=t= nature, looking upon myselfe under higher obligac~ons in y=t= thinge then those y=t= are accustomed to be made amongst men upon the like occasion.",m
8796,"I pray remember me to mr courtney and cap=t= price, from whom i have not herd of late, and have not any thinge to com~unicate onto them but what i have written in my last to mr courtney.",m
8797,Present my kinde love to my sister.,m
8798,"In haste i remayne,    yo=r= very affec~conate brother,    jo.",m
8799,Jon's.,m
8800,"to coll=l= marke travo=r= worthy s=r=    i am informed that there is a tene~m=t= in the township of brinkinnalt neare onto y=e= dee river, which yo=r= father s=r= edward trevo=r= bought of one winter and that yo=r= father afterwards mortgaged the same for 400 (^l^). with power of redempc~on at a day long sinse past and y=t= yo=r= father by his will did bequeath his interest and power of redemc~on of the said tene~m=t= onto you, i am further informed that the said ten~em=t= is worth but 30 (^l^). p~ annu=m= and y=t= (by reason of diverse year's arrear's of interest upon the said mortgage, before the mortagagee tooke possession thereof) the redempc~on of the said tenem=t= will amount to above 500 (^l^).",m
8801,"My desire is (if you judge my request may not be prejudicial to you all) that you would convey onto mee or onto such person as i will appoint you=r= interest in, and power of redemption of the said ten~em=t= upon such tearm's as yourselfe or any other indifferent man will judge reasonable, any man may perceive by what i have here set downe can not be worth much in these tym's.",m
8802,Yet i conceive it fitt that you should propound yo=r= owne satisfacc~on.,m
8803,"I desire the favou=r= from you all to lett me receive yo=r= resoluc~on in this perticular with all convenient speede, because some affair's of myne doe something depend upon what you will please to doe in this.",m
8804,"I have noe farther to trouble you at present, but rest    your assured friend and servant,    jo.",m
8805,Jon's.,m
8806,Dublin y=e= 28=th= ffebruary 1653.,m
8807,to coll=l= philip jon's.,m
8808,"Honor=d= ffriend,    i humbly and heartily thanke you for yo=r= kinde letter and wholesome advice therein.",m
8809,"Haveing all this while waited for some signification of the pleasure of them that are in authority with you, touching y=e= late greate change in governm=t= and heareing not one syllable thereof, tending to require or direct such as serve you here, what to doe thereupon, wee have at last caused the inclosed paper to be publised, which was very solemly done this day, being the 1=st= of ffebruary.",m
8810,"You doe very truely observe that there was some hesitation upon the spirits of some godly people heere, touching the late alteration; but those doubts were by many day's seekeing of councell from y=e= lord (i hope) well settled.",m
8811,"I presume you will not account them the worst freinds to yo=r= governm=t= who are tender in inquireing after the minde of god in every publique turne of providence, and are not easily given to aprove of every change, upon an implicit faith of the integrity, zeale and wisdom of those that make such a change, and that being settled in their judgm=ts= to aprove or acquieace in the resolutions of those that are in power.",m
8812,"You will value them as farr more precious instrum=ts= to serve their generation then those that jump with you into the worke upon personal accompt (if any such there be), and whereas you seeme to apprehend that some of my good freinds and yo=rs= might missrepresent things heere, i must needs take leave soe farr to justifye them as to let you knowe, that sinse the late alteration i have not received one letter from any of them who seemed in the late assembly expressing anythinge of their dissatisfac~con in that greate act, thereby to justifye themselves, and those others of that assembly which were of our judgm=t=; although i doe knowe that it is natural for dissatisfac~on to rest upon the dissenting party.",m
8813,If justice and righteousness flowe as stream's from y=r= governm=t= all that feare the lord will rejoice in it.,m
8814,"If not, it is not the splendo=r,= greatness or forme of governm=t= that will preserve it from ruine; ffor my owne part i have a large measure of faith to believe that the advanceing of righteousness and holyness in these nations is yo=r= ayme and scop.",m
8815,"I have many things to write onto you concerning y=e= affair's of this land, if i conceived it proper to trouble you with them.",m
8816,"If you doe not forthwith settle a com~ittee with you, to carry on y=e= affair's of ireland, you will find those affair's in greate disorder shortly.",m
8817,"I will not further trouble you at this tyme, but rest    yo=r= affec~conat freind and humble servant    jo.",m
8818,Jon's.,m
8819,"Dublin, y=e= 1=st= ffeb., 1653.",m
8820,major gen=l= harrison to col=l= jon's.,m
8821,Deare brother.,m
